경매개시일,법원명,경매사건번호,주소,대지권,전용,감정가,낙찰가,낙찰일,입찰인수,유찰수,매각가율,역과의거리,임차인대항력,,,,,,,,,
20150206,서울남부 ,2015-2727, 양천구 신정동 9831 아인스빌2 제3층 제304호   ,6.7,10.2,22000 ,18957 ,2020-07-14,3 ,1 ,0.86 ,321 ,1 ,,,,,,,,,
20150526,서울중앙 ,2015-9555, 동작구 신대방동 366-255 다세대주택 2층201호   ,7.8,17.7,23900 ,22144 ,2020-02-05,7 ,1 ,0.80 ,268 ,0 ,,,,,,,,,
20170628,서울서부 ,2017-52008, 은평구 역촌동 429 참사랑채 제6층 제601호   ,6.2,15.3,20200 ,14666 ,2021-02-09,7 ,2 ,0.73 ,332 ,0 ,,,,,,,,,
20170628,서울서부,2017-51975, 은평구 역촌동 429 참사랑채 제5층 제501호   ,6.2,15.3,20500 ,13150 ,2021-02-16,4 ,3 ,0.64 ,331 ,0 ,,,,,,,,,
20170724,서울서부 ,2017-5866, 은평구 구산동 26-1 삼창빌라 제비동 제6층 제601호,0,2.6,2514 ,2520 ,2020-05-12,1 ,0 ,1.00 ,612 ,0 ,,,,,,,,,
20170725,서울동부,2017-52389," 송파구 방이동 131-16 방이주택 6차 제3층 제301호 외1건
",9.4,19.7,33200 ,34861 ,2022-01-24,3 ,1 ,1.05 ,533 ,0 ,,,,,,,,,
20170725,서울동부,2017-52389," 송파구 방이동 131-16 방이주택 6차 제4층 제401호 외1건
",12.7,26.7,43900 ,45125 ,2022-01-24,5 ,1 ,1.03 ,533 ,1 ,,,,,,,,,
20170726,서울서부,2017-5989, 은평구 대조동 7-3 신한리더스빌 제4층 제401호 ,6.1,10.4,20000 ,14320 ,2020-02-11,3 ,2 ,0.72 ,162 ,1 ,,,,,,,,,
20171010,서울남부 ,2017-104306, 강서구 화곡동 37113 대화파크빌 제102동 제3층 제302호   ,8,13.8,17000 ,17177 ,2020-12-09,6 ,1 ,1.01 ,590 ,0 ,,,,,,,,,
20171012,서울북부,2017-10183, 강북구 우이동 23-41 호호아트빌 제5층 제501호  ,8.9,14.9,14600 ,11301 ,2020-05-11,5 ,2 ,0.77 ,331 ,0 ,,,,,,,,,
20171026,서울북부,2017-10855, 강북구 수유동 9-59 썬하우스 제101동 제3층 제302호   ,10.8,18.1,24200 ,4427 ,2020-04-27,1 ,8 ,0.18 ,269 ,1 ,,,,,,,,,
20171031,서울중앙,2017-104973, 관악구 봉천동 685-23 지하층 비01호 외7건 ,66.1,107.8,108756 ,71111 ,2021-11-16,1 ,2 ,0.65 ,324 ,1 ,,,,,,,,,
20171208,서울북부,2017-106282, 도봉구 도봉동 58611 산장빌라 1 제3층 제1호  ,6.7,12.1,11700 ,9000 ,2021-04-12,9 ,2 ,0.77 ,293 ,0 ,,,,,,,,,
20180124,서울남부,2018-692, 금천구 독산동 1047-30 하이빌 제4층 제402호 ,8.5,15.4,20800 ,21000 ,2020-02-12,13 ,2 ,1.01 ,1138 ,0 ,,,,,,,,,
20180206,서울서부,2018-486, 은평구 역촌동 43-38외 3필지 도올탑스텔 제4층 제401호,0,22.3,27000 ,21723 ,2022-07-12,1 ,1 ,1.24 ,183 ,1 ,,,,,,,,,
20180222,서울동부,2018-50519, 강동구 천호동 29160 291에비뉴 제2층 제202호   ,5.1,9,28000 ,3810 ,2021-03-29,1 ,9 ,0.14 ,480 ,1 ,,,,,,,,,
20180227,서울북부 ,2018-2073, 강북구 수유동 13025 송정지가 제3층 제302호   ,6.8,11.4,19000 ,4037 ,2021-01-25,2 ,8 ,0.21 ,438 ,1 ,,,,,,,,,
20180228,서울서부 ,2018-1397, 은평구 갈현동 504-37 신하우스 제2층 제201호 ,7.9,12.2,21700 ,4380 ,2020-01-07,1 ,8 ,0.17 ,523 ,1 ,,,,,,,,,
20180402,서울서부 ,2018-2048, 은평구 갈현동 506-13 해피하우스 제4층 제401호   ,8.5,13.5,22000 ,20510 ,2020-01-21,2 ,1 ,0.80 ,583 ,1 ,,,,,,,,,
20180402,서울서부 ,2018-2048, 은평구 갈현동 50613 해피하우스 제4층 제402호   ,9.3,14.7,24000 ,0 ,2021-01-19,0 ,7 ,0.00 ,582 ,1 ,,,,,,,,,
20180424,서울서부 ,2018-2529, 용산구 용산동2가 11890 대영빌라 제1층 제101호   ,4.3,11.6,20000 ,20064 ,2020-07-07,1 ,0 ,1.00 ,1050 ,0 ,,,,,,,,,
20180504,서울북부 ,2018-102485, 성북구 성북동 130-11 제3층 제305호,27,38.8,45500 ,59000 ,2020-01-06,1 ,2 ,0.64 ,587 ,0 ,,,,,,,,,
20180531,서울동부 ,2018-3049, 강동구 암사동 475-21외 1필지 신주리버빌 제2층 제202호,8.6,14.8,23000 ,20510 ,2020-05-25,3 ,1 ,0.89 ,659 ,0 ,,,,,,,,,
20180611,서울서부,2018-3362, 은평구 갈현동 50613 해피하우스 제4층 제402호   ,9.3,14.7,24000 ,2551 ,2021-06-15,0 ,3 ,0.11 ,591 ,1 ,,,,,,,,,
20180618,서울북부 ,2018-103389, 중랑구 상봉동 11160외 1필지 성원빌라 제4층 제1호   ,6.6,11.9,18020 ,14600 ,2021-01-18,8 ,2 ,0.81 ,145 ,0 ,,,,,,,,,
20180629,서울서부,2018-2598, 서대문구 홍은동 9-534 홍은빌라 제2층 제209호 ,5.6,7,6140 ,6555 ,2020-03-24,1 ,0 ,1.07 ,1246 ,1 ,,,,,,,,,
20180709,서울북부,2018-103860, 도봉구 방학동 609-3 연정아트빌 제4층 제401호 ,9.4,17.7,20800 ,11790 ,2020-02-24,2 ,3 ,0.57 ,1261 ,0 ,,,,,,,,,
20180713,서울서부 ,2018-52395, 용산구 갈월동 5-7외 4필지 동양아파트 제2층 제204호,0,31.9,21300 ,23441 ,2020-01-07,5 ,0 ,1.00 ,309 ,1 ,,,,,,,,,
20180713,서울서부 ,2018-52395, 용산구 갈월동 5-7외 4필지 동양아파트 제4층 제401호 ,0,47.9,30700 ,0 ,2020-01-07,0 ,0 ,0.80 ,313 ,1 ,,,,,,,,,
20180724,서울서부 ,2018-52531, 마포구 서교동 4645 신광빌라 제2층 제201호좌측표기:301호)   ,8.6,11.1,28400 ,28450 ,2020-08-11,2 ,1 ,1.00 ,448 ,1 ,,,,,,,,,
20180726,서울중앙,2018-6649, 관악구 봉천동 635692 다세대주택 제3층 제302호   ,9.9,19.9,20300 ,18757 ,2021-02-25,14 ,2 ,0.92 ,975 ,1 ,,,,,,,,,
20180802,서울북부,2018-103419, 도봉구 쌍문동 31523 신건영빌리지 제나동 제4층 제402호   ,7.6,14.1,14000 ,13800 ,2021-03-15,2 ,1 ,0.99 ,310 ,1 ,,,,,,,,,
20180807,서울중앙 ,2018-6991, 관악구 신림동 412343 금호빌라2차 제1층 제102호  ,7.4,13.2,13000 ,12112 ,2020-11-25,1 ,1 ,0.93 ,479 ,0 ,,,,,,,,,
20180810,서울남부 ,2018-104792, 강서구 화곡동 805-7 제2층 제1호   ,7.5,10.8,12200 ,9709 ,2020-01-29,10 ,2 ,0.64 ,864 ,0 ,,,,,,,,,
20180821,서울남부,2018-104969, 강서구 화곡동 862-14 이수빌라(외관표시: 이수골드빌리지) 제1층 제1호  ,5.3,12.5,13400 ,11840 ,2020-04-08,4 ,1 ,0.88 ,770 ,0 ,,,,,,,,,
20180823,서울북부 ,2018-8361, 도봉구 쌍문동 460-165 천우그린빌라 제1층 제101호  ,7.1,12.6,13500 ,10978 ,2020-01-20,2 ,1 ,0.80 ,849 ,0 ,,,,,,,,,
20180903,서울북부,2018-8606, 중랑구 묵동 122-185 송원화랑맨션 제2층 제201호,8.6,19,23300 ,23100 ,2022-11-08,2 ,1 ,1.01 ,152 ,0 ,,,,,,,,,
20180904,서울북부,2018-8736, 노원구 상계동 136-2 풀내음파크빌 제3층 제303호   ,5.5,9,11000 ,9566 ,2020-04-27,6 ,2 ,0.87 ,649 ,1 ,,,,,,,,,
20180919,서울남부 ,2018-8474, 양천구 신월동 46931 우리아트빌 제에이동 제2층 제202호   ,8.8,18.6,18300 ,18200 ,2020-08-18,3 ,1 ,0.99 ,627 ,0 ,,,,,,,,,
20181004,서울남부 ,2018-8887, 강서구 화곡동 856-12 제1층 제103호  ,9.8,16.4,20400 ,16899 ,2020-01-22,10 ,2 ,0.64 ,571 ,0 ,,,,,,,,,
20181005,서울남부 ,2018-8993, 강서구 화곡동 5674 까치빌라 제2층 제201호  ,7,11.1,12500 ,8524 ,2020-06-09,2 ,2 ,0.68 ,933 ,0 ,,,,,,,,,
20181012,서울남부 ,2018-9187, 구로구 오류동 1-8 제4층 제403호,13.2,18,14900 ,15000 ,2020-05-20,11 ,2 ,1.00 ,831 ,1 ,,,,,,,,,
